Title,Year,Author,Publication,Cited,URL
Pengaruh LKS Berbasis Discovery Learning terhadap Peningkatkan Keterampilan Berpikir Kritis Siswa,2018,"Authors : M Karimah, T Efkar, E Sofya","Jurnal Pendidikan dan Pembelajaran Kimia 7 (2), 2018",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pengaruh LKS Berbasis Discovery Learning terhadap Peningkatkan Keterampilan Berpikir Kritis Siswa'
Mulberry Leaves (Morus alba) for Diabetes Mellitus: Acute Toxicity Test in Male Wistar Rats,2018,"Authors : R Nurita, A Vitriana, IM Sukmara, N Utami, M Maryam, F Huda, V Yunivita","Indonesian Journal of Pharmaceutical Science and Technology 1 (1), 7-12, 2018",0 cited,https://scholar.google.com/scholar?q=+intitle:'Mulberry Leaves (Morus alba) for Diabetes Mellitus: Acute Toxicity Test in Male Wistar Rats'
Indeks Trombosit pada Penderita Preeklampsia di RSUD DR H,2018,"Authors : N Utami, PR Ayu, RD Puspitasari, R Graharti",H. Abdul Moeloek Provinsi Lampung Platelet Index in Preeclampsia Patients in …,2 cited,https://scholar.google.com/scholar?q=+intitle:'Indeks Trombosit pada Penderita Preeklampsia di RSUD DR H'
"The Nyambai Culture in Coastal Communities: A Relationship to the Concept of Functions, Forms and Meanings",2018,"Authors : F Daryanti, M Jazuli, T Sumaryanto, H Hartono","2nd Workshop on Language, Literature and Society for Education, 2018",0 cited,"https://scholar.google.com/scholar?q=+intitle:'The Nyambai Culture in Coastal Communities: A Relationship to the Concept of Functions, Forms and Meanings'"
Pembinaan Guru SMP Untuk Penguatan Literasi dan NUmerasi Siswa di Kabupaten Lampung Tengah,2018,Authors : F Daryanti,"EUDL, 2018",1 cited,https://scholar.google.com/scholar?q=+intitle:'Pembinaan Guru SMP Untuk Penguatan Literasi dan NUmerasi Siswa di Kabupaten Lampung Tengah'
"PELATIHAN PERENCANAAN KEUANGAN KELUARGA PETANI DAN UMKM DENGAN MENGGUNAKAN APLIKASI FINANCIAL BERBASIS TEKNOLOGI INFORMASI DI DESA LUMBIREJO KECAMATAN GEDONG TATAAN, KABUPATEN …",2018,"Authors : SE Hidayah Wiweko, SE Irham Lihan, SE Igo Febrianto, SE Dina Safitri, ...",PELATIHAN PERENCANAAN KEUANGAN KELUARGA PETANI DAN UMKM DENGAN MENGGUNAKAN …,0 cited,"https://scholar.google.com/scholar?q=+intitle:'PELATIHAN PERENCANAAN KEUANGAN KELUARGA PETANI DAN UMKM DENGAN MENGGUNAKAN APLIKASI FINANCIAL BERBASIS TEKNOLOGI INFORMASI DI DESA LUMBIREJO KECAMATAN GEDONG TATAAN, KABUPATEN …'"
PENGARUH KEAKTIFAN MENGIKUTI KEGIATAN EKSTRAKURIKULER TERHADAP KEPERCAYAAN DIRI SISWA MADRASAH TSANAWIYAH NEGERI 1 PEKANBARU,2018,Authors : D Safitri,"Universitas Islam Negeri Sultan Syarif Kasim Riau, 2018",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENGARUH KEAKTIFAN MENGIKUTI KEGIATAN EKSTRAKURIKULER TERHADAP KEPERCAYAAN DIRI SISWA MADRASAH TSANAWIYAH NEGERI 1 PEKANBARU'
EVALUASI PERPADUAN OBAT ARV PADA PASIEN HIV/AIDS DITINJAU DARI KENAIKAN JUMLAH LIMFOSIT CD DI RSUP H. ADAM MALIK MEDAN TAHUN 2016,2018,"Authors : DN Siahaan, D Safitri, N Silalahi, M Gunawan","Jurnal Stikna 2 (1), 2018",0 cited,https://scholar.google.com/scholar?q=+intitle:'EVALUASI PERPADUAN OBAT ARV PADA PASIEN HIV/AIDS DITINJAU DARI KENAIKAN JUMLAH LIMFOSIT CD DI RSUP H. ADAM MALIK MEDAN TAHUN 2016'
Pertanggungjawaban pelaku perusakan sungai ditinjau dari undang-undang Republik Indonesia Nomor 11 tahun 1974 tentang pengairan,2018,Authors : D Safitri,"Universitas Bangka Belitung, 2018",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pertanggungjawaban pelaku perusakan sungai ditinjau dari undang-undang Republik Indonesia Nomor 11 tahun 1974 tentang pengairan'
"Pelatihan Perencanaan Keuangan Keluarga Petani dan UMKM dengan Menggunakan Aplikasi Financial Berbasis Teknologi Informasi di Desa Lumbirejo Kecamatan Gedong Tataan, Kabupaten …",2018,Authors :,,0 cited,"https://scholar.google.com/scholar?q=+intitle:'Pelatihan Perencanaan Keuangan Keluarga Petani dan UMKM dengan Menggunakan Aplikasi Financial Berbasis Teknologi Informasi di Desa Lumbirejo Kecamatan Gedong Tataan, Kabupaten …'"
